,20151231,20160331,20160630,20160930,20161230,20170331,20170630,20170929,20171229,20180330,20180629,20180928,20181228,20190329,20190628,20190930,20191231,20200331,20200630,20200930
0,000156.SZ,601099.SH,600783.SH,600005.SH,000001.SZ,600703.SH,000001.SZ,600518.SH,002310.SZ,601633.SH,000001.SZ,000001.SZ,000001.SZ,000651.SZ,000001.SZ,000063.SZ,600031.SH,000001.SZ,000001.SZ,600438.SH
1,600642.SH,600011.SH,601398.SH,000776.SZ,000002.SZ,600704.SH,000002.SZ,600519.SH,002352.SZ,000540.SZ,000002.SZ,000002.SZ,000002.SZ,000661.SZ,000002.SZ,000001.SZ,600036.SH,000002.SZ,000002.SZ,601658.SH
2,601179.SH,002024.SZ,601009.SH,000009.SZ,000008.SZ,600705.SH,000008.SZ,600522.SH,002385.SZ,601608.SH,000060.SZ,000060.SZ,000063.SZ,000671.SZ,000063.SZ,000002.SZ,600038.SH,000063.SZ,000063.SZ,002001.SZ
3,601989.SH,002008.SZ,600582.SH,600606.SH,000009.SZ,600718.SH,000009.SZ,600535.SH,002411.SZ,000839.SZ,000063.SZ,000063.SZ,000069.SZ,000703.SZ,000069.SZ,000069.SZ,600048.SH,000069.SZ,000066.SZ,002007.SZ
4,600271.SH,000776.SZ,600795.SH,300015.SZ,000027.SZ,600737.SH,600893.SH,600547.SH,002415.SZ,000858.SZ,000069.SZ,000069.SZ,000100.SZ,000709.SZ,000100.SZ,000100.SZ,600050.SH,000423.SZ,000069.SZ,002008.SZ
5,000338.SZ,000738.SZ,000728.SZ,000538.SZ,000039.SZ,600739.SH,600895.SH,600549.SH,002424.SZ,300017.SZ,000100.SZ,000100.SZ,000157.SZ,000725.SZ,000157.SZ,000157.SZ,600061.SH,000157.SZ,000157.SZ,600482.SH
6,601991.SH,600649.SH,600309.SH,600900.SH,000060.SZ,600741.SH,600900.SH,600570.SH,002426.SZ,600208.SH,000157.SZ,000157.SZ,000166.SZ,000728.SZ,000166.SZ,000166.SZ,600066.SH,000413.SZ,000425.SZ,002024.SZ
7,002465.SZ,300058.SZ,600252.SH,600089.SH,000061.SZ,600754.SH,600909.SH,600583.SH,002450.SZ,601555.SH,000166.SZ,000166.SZ,000333.SZ,000768.SZ,000333.SZ,000333.SZ,600068.SH,000415.SZ,000538.SZ,601816.SH
8,600887.SH,601336.SH,601600.SH,600252.SH,000063.SZ,600783.SH,600919.SH,600585.SH,002456.SZ,000630.SZ,000333.SZ,000333.SZ,000338.SZ,000776.SZ,000338.SZ,000338.SZ,600085.SH,000425.SZ,000568.SZ,002027.SZ
9,000623.SZ,600000.SH,600153.SH,002142.SZ,000069.SZ,600795.SH,600926.SH,600588.SH,002460.SZ,002468.SZ,000338.SZ,000338.SZ,000402.SZ,000783.SZ,000402.SZ,000402.SZ,600089.SH,000538.SZ,000596.SZ,002032.SZ
10,600959.SH,600863.SH,000783.SZ,300017.SZ,000100.SZ,600804.SH,600958.SH,600606.SH,002465.SZ,600376.SH,000402.SZ,000402.SZ,000408.SZ,000786.SZ,000408.SZ,000408.SZ,600100.SH,000568.SZ,000625.SZ,600027.SH
11,300315.SZ,000166.SZ,600009.SH,600398.SH,000156.SZ,600816.SH,600959.SH,600637.SH,002466.SZ,002673.SZ,000413.SZ,000413.SZ,000413.SZ,000792.SZ,000413.SZ,000413.SZ,600104.SH,000596.SZ,000627.SZ,002044.SZ
12,601818.SH,600783.SH,601088.SH,600010.SH,000157.SZ,600820.SH,600977.SH,600649.SH,002468.SZ,601333.SH,000415.SZ,000415.SZ,000415.SZ,000826.SZ,000415.SZ,000415.SZ,600109.SH,000625.SZ,000651.SZ,002050.SZ
13,000060.SZ,601628.SH,600398.SH,600871.SH,000166.SZ,600827.SH,600999.SH,600660.SH,002470.SZ,601877.SH,000423.SZ,000423.SZ,000423.SZ,000839.SZ,000423.SZ,000423.SZ,600111.SH,000627.SZ,000656.SZ,601988.SH
14,600009.SH,000623.SZ,600019.SH,601866.SH,000333.SZ,600837.SH,601006.SH,600663.SH,002475.SZ,000069.SZ,000425.SZ,000425.SZ,000425.SZ,000858.SZ,000425.SZ,000425.SZ,600115.SH,000629.SZ,000661.SZ,002153.SZ
15,002129.SZ,002195.SZ,002129.SZ,600570.SH,000338.SZ,600839.SH,601009.SH,600674.SH,002500.SZ,002572.SZ,000503.SZ,000503.SZ,000503.SZ,000876.SZ,000538.SZ,000538.SZ,600118.SH,000630.SZ,000671.SZ,002146.SZ
16,600415.SH,000538.SZ,601216.SH,601390.SH,000402.SZ,600867.SH,601018.SH,600682.SH,002508.SZ,600018.SH,000538.SZ,000538.SZ,000538.SZ,000895.SZ,000553.SZ,000553.SZ,600153.SH,000651.SZ,000703.SZ,600048.SH
17,601211.SH,600100.SH,600688.SH,601186.SH,000413.SZ,600871.SH,601021.SH,600685.SH,002555.SZ,600977.SH,000540.SZ,000540.SZ,000553.SZ,000898.SZ,000568.SZ,000568.SZ,600170.SH,000656.SZ,000708.SZ,601006.SH
18,600188.SH,002252.SZ,300104.SZ,601088.SH,000415.SZ,600873.SH,601088.SH,600688.SH,002558.SZ,002831.SZ,000559.SZ,000559.SZ,000568.SZ,000938.SZ,000596.SZ,000596.SZ,600176.SH,000661.SZ,000709.SZ,601111.SH
19,600489.SH,601377.SH,000876.SZ,600317.SH,000423.SZ,600875.SH,601099.SH,600690.SH,002572.SZ,600482.SH,000568.SZ,000568.SZ,000625.SZ,000959.SZ,000625.SZ,000625.SZ,600177.SH,000671.SZ,000723.SZ,600018.SH
20,300070.SZ,000027.SZ,000415.SZ,000069.SZ,000425.SZ,600886.SH,601111.SH,600703.SH,002594.SZ,601375.SH,000623.SZ,000623.SZ,000627.SZ,000961.SZ,000627.SZ,000627.SZ,600183.SH,000703.SZ,000725.SZ,601398.SH
21,300017.SZ,000876.SZ,600685.SH,601211.SH,000503.SZ,600887.SH,601117.SH,600704.SH,002601.SZ,601998.SH,000625.SZ,000625.SZ,000630.SZ,000963.SZ,000629.SZ,000629.SZ,600188.SH,000709.SZ,000728.SZ,601628.SH
22,600570.SH,300146.SZ,000039.SZ,600109.SH,000538.SZ,600893.SH,601118.SH,600705.SH,002602.SZ,002736.SZ,000627.SZ,000627.SZ,000651.SZ,000983.SZ,000630.SZ,000630.SZ,601818.SH,000723.SZ,000768.SZ,002120.SZ
23,601958.SH,000825.SZ,601668.SH,000729.SZ,000540.SZ,600895.SH,601127.SH,600718.SH,002608.SZ,600061.SH,000630.SZ,000630.SZ,000661.SZ,001965.SZ,000651.SZ,000651.SZ,601828.SH,000725.SZ,000776.SZ,601166.SH
24,600406.SH,600060.SH,600109.SH,600741.SH,000555.SZ,600900.SH,601155.SH,600737.SH,002624.SZ,601878.SH,000651.SZ,000651.SZ,000671.SZ,001979.SZ,000656.SZ,000656.SZ,601838.SH,000728.SZ,000783.SZ,002463.SZ
25,601628.SH,600015.SH,600737.SH,000425.SZ,000559.SZ,600958.SH,601163.SH,600739.SH,002673.SZ,601881.SH,000671.SZ,000671.SZ,000703.SZ,002001.SZ,000661.SZ,000661.SZ,601857.SH,000768.SZ,000786.SZ,601318.SH
26,600369.SH,601618.SH,002142.SZ,600153.SH,000568.SZ,600959.SH,601166.SH,600741.SH,002714.SZ,601009.SH,000709.SZ,000709.SZ,000709.SZ,002007.SZ,000671.SZ,000671.SZ,601877.SH,000776.SZ,000858.SZ,002129.SZ
27,600398.SH,000729.SZ,300124.SZ,601618.SH,000623.SZ,600999.SH,601169.SH,600795.SH,002736.SZ,600485.SH,000723.SZ,000723.SZ,000725.SZ,002008.SZ,000703.SZ,000703.SZ,601878.SH,000783.SZ,000860.SZ,000338.SZ
28,601788.SH,600372.SH,601939.SH,000738.SZ,000625.SZ,601006.SH,601186.SH,600804.SH,002739.SZ,601669.SH,000725.SZ,000725.SZ,000728.SZ,002024.SZ,000709.SZ,000709.SZ,601881.SH,000786.SZ,000876.SZ,601998.SH
29,600068.SH,601888.SH,600028.SH,601933.SH,000627.SZ,601009.SH,601198.SH,600816.SH,002797.SZ,002294.SZ,000728.SZ,000728.SZ,000768.SZ,002027.SZ,000725.SZ,000725.SZ,601888.SH,000858.SZ,000895.SZ,601328.SH
30,601021.SH,002353.SZ,603885.SH,601788.SH,000630.SZ,601018.SH,601211.SH,600820.SH,002831.SZ,002500.SZ,000768.SZ,000768.SZ,000776.SZ,002032.SZ,000728.SZ,000728.SZ,601898.SH,000876.SZ,000938.SZ,601600.SH
31,600027.SH,600252.SH,600383.SH,000651.SZ,000651.SZ,601021.SH,601216.SH,600827.SH,002839.SZ,600999.SH,000776.SZ,000776.SZ,000783.SZ,002044.SZ,000768.SZ,000768.SZ,601899.SH,000895.SZ,000961.SZ,601919.SH
32,002038.SZ,002415.SZ,600150.SH,600074.SH,000671.SZ,601088.SH,601225.SH,600837.SH,002841.SZ,600332.SH,000783.SZ,000783.SZ,000786.SZ,002050.SZ,000776.SZ,000776.SZ,601901.SH,000898.SZ,000963.SZ,002142.SZ
33,000825.SZ,601333.SH,600021.SH,600739.SH,000686.SZ,601099.SH,601229.SH,600871.SH,300003.SZ,300059.SZ,000786.SZ,000786.SZ,000792.SZ,002065.SZ,000783.SZ,000783.SZ,601919.SH,000938.SZ,000977.SZ,601009.SH
34,300144.SZ,600383.SH,000725.SZ,600863.SH,000709.SZ,601111.SH,601288.SH,600886.SH,300015.SZ,600118.SH,000792.SZ,000792.SZ,000826.SZ,002081.SZ,000786.SZ,000786.SZ,601933.SH,000961.SZ,600000.SH,002371.SZ
35,002353.SZ,601818.SH,000895.SZ,000963.SZ,000712.SZ,601118.SH,601318.SH,600887.SH,300017.SZ,600016.SH,000826.SZ,000826.SZ,000839.SZ,002085.SZ,000858.SZ,000858.SZ,601939.SH,000963.SZ,600009.SH,601088.SH
36,000728.SZ,000423.SZ,600089.SH,601166.SH,000718.SZ,601127.SH,601328.SH,600893.SH,300024.SZ,601958.SH,000839.SZ,000839.SZ,000858.SZ,002120.SZ,000876.SZ,000876.SZ,601985.SH,600000.SH,600010.SH,002304.SZ
37,000423.SZ,600690.SH,000858.SZ,300070.SZ,000725.SZ,601155.SH,601333.SH,600895.SH,300027.SZ,000728.SZ,000858.SZ,000858.SZ,000876.SZ,002142.SZ,000895.SZ,000895.SZ,601988.SH,600009.SH,600011.SH,601857.SH
38,601669.SH,603288.SH,002500.SZ,600208.SH,000728.SZ,601166.SH,601336.SH,600900.SH,300033.SZ,002558.SZ,000876.SZ,000876.SZ,000895.SZ,002146.SZ,000898.SZ,000898.SZ,601989.SH,600010.SH,600016.SH,601390.SH
39,601216.SH,600674.SH,600816.SH,000725.SZ,000738.SZ,601169.SH,601375.SH,600909.SH,300059.SZ,000413.SZ,000895.SZ,000895.SZ,000898.SZ,002153.SZ,000938.SZ,001979.SZ,601992.SH,600011.SH,600019.SH,002202.SZ
40,600804.SH,000800.SZ,600010.SH,600276.SH,000750.SZ,601186.SH,601377.SH,600919.SH,300070.SZ,000625.SZ,000898.SZ,000898.SZ,000938.SZ,002179.SZ,000961.SZ,000938.SZ,601997.SH,600016.SH,600028.SH,601601.SH
41,002007.SZ,603885.SH,601169.SH,300144.SZ,000768.SZ,601198.SH,601390.SH,600926.SH,300072.SZ,000938.SZ,000938.SZ,000938.SZ,000959.SZ,002202.SZ,000963.SZ,000961.SZ,601998.SH,600019.SH,600036.SH,601899.SH
42,300002.SZ,600050.SH,600100.SH,000540.SZ,000776.SZ,601211.SH,601398.SH,600958.SH,300122.SZ,002024.SZ,000959.SZ,000959.SZ,000961.SZ,002230.SZ,001979.SZ,000963.SZ,603019.SH,600028.SH,600038.SH,601898.SH
43,000413.SZ,601198.SH,600827.SH,600839.SH,000778.SZ,601216.SH,601555.SH,600959.SH,300124.SZ,600886.SH,000961.SZ,000961.SZ,000963.SZ,002236.SZ,002001.SZ,002001.SZ,603156.SH,600036.SH,600061.SH,601186.SH
44,600637.SH,600021.SH,600376.SH,601688.SH,000783.SZ,601225.SH,601600.SH,600977.SH,300136.SZ,601377.SH,000963.SZ,000963.SZ,000983.SZ,002241.SZ,002007.SZ,002007.SZ,603160.SH,600038.SH,600066.SH,002230.SZ
45,000415.SZ,601668.SH,600739.SH,002230.SZ,000792.SZ,601258.SH,601601.SH,600999.SH,300144.SZ,601901.SH,000983.SZ,000983.SZ,001965.SZ,002252.SZ,002008.SZ,002008.SZ,603259.SH,600061.SH,600068.SH,002236.SZ
46,300133.SZ,600030.SH,000839.SZ,002146.SZ,000793.SZ,601288.SH,601607.SH,601006.SH,300251.SZ,002230.SZ,001965.SZ,001965.SZ,001979.SZ,002271.SZ,002010.SZ,002010.SZ,603260.SH,600066.SH,600085.SH,002252.SZ
47,000100.SZ,002129.SZ,002424.SZ,300133.SZ,000800.SZ,601318.SH,601608.SH,601009.SH,300315.SZ,002739.SZ,001979.SZ,001979.SZ,002001.SZ,002294.SZ,002024.SZ,002024.SZ,603288.SH,600068.SH,600089.SH,002241.SZ
48,000776.SZ,300017.SZ,002008.SZ,601118.SH,000826.SZ,601328.SH,601611.SH,601018.SH,600000.SH,601169.SH,002007.SZ,002007.SZ,002007.SZ,002304.SZ,002027.SZ,002027.SZ,603501.SH,600085.SH,600104.SH,601901.SH
49,601872.SH,600118.SH,600642.SH,002739.SZ,000839.SZ,601333.SH,601618.SH,601021.SH,600008.SH,000425.SZ,002008.SZ,002008.SZ,002008.SZ,002310.SZ,002032.SZ,002032.SZ,603799.SH,600089.SH,600109.SH,601878.SH
50,000651.SZ,300027.SZ,600547.SH,601898.SH,000858.SZ,601336.SH,601628.SH,601088.SH,600009.SH,600000.SH,002024.SZ,002024.SZ,002024.SZ,002311.SZ,002044.SZ,002044.SZ,603833.SH,600100.SH,600111.SH,002673.SZ
51,600196.SH,000338.SZ,600583.SH,600029.SH,000876.SZ,601377.SH,601633.SH,601099.SH,600010.SH,600688.SH,002027.SZ,002027.SZ,002027.SZ,002352.SZ,002050.SZ,002050.SZ,603899.SH,600104.SH,600115.SH,601198.SH
52,600109.SH,601117.SH,601958.SH,002007.SZ,000895.SZ,601390.SH,601668.SH,601111.SH,600011.SH,601186.SH,002044.SZ,002044.SZ,002032.SZ,002411.SZ,002065.SZ,002065.SZ,603986.SH,600109.SH,600118.SH,601288.SH
53,000581.SZ,600038.SH,000768.SZ,600582.SH,000917.SZ,601398.SH,601669.SH,601117.SH,600015.SH,600050.SH,002050.SZ,002050.SZ,002044.SZ,002415.SZ,002081.SZ,002081.SZ,603993.SH,600111.SH,600170.SH,601838.SH
54,000917.SZ,600549.SH,600666.SH,002415.SZ,000938.SZ,601555.SH,601688.SH,601118.SH,600016.SH,600739.SH,002065.SZ,002065.SZ,002050.SZ,002422.SZ,002120.SZ,002120.SZ,600196.SH,600115.SH,600176.SH,601997.SH
55,600741.SH,600009.SH,601901.SH,000999.SZ,000963.SZ,601600.SH,601718.SH,601127.SH,600018.SH,600827.SH,002074.SZ,002074.SZ,002065.SZ,002450.SZ,002142.SZ,002142.SZ,600208.SH,600118.SH,600177.SH,601229.SH
56,300003.SZ,002500.SZ,601333.SH,600663.SH,000977.SZ,601601.SH,601727.SH,601155.SH,600019.SH,600535.SH,002081.SZ,002081.SZ,002081.SZ,002456.SZ,002146.SZ,002146.SZ,600219.SH,600153.SH,600183.SH,601162.SH
57,600648.SH,600958.SH,601198.SH,600867.SH,000983.SZ,601607.SH,601766.SH,601163.SH,600021.SH,002044.SZ,002085.SZ,002085.SZ,002085.SZ,002460.SZ,002153.SZ,002153.SZ,600221.SH,600170.SH,600188.SH,601668.SH
58,601633.SH,600332.SH,601989.SH,600015.SH,001979.SZ,601608.SH,601788.SH,601166.SH,600023.SH,600795.SH,002142.SZ,002142.SZ,002120.SZ,002466.SZ,002179.SZ,002179.SZ,600233.SH,600176.SH,600196.SH,002271.SZ
59,601866.SH,300059.SZ,600018.SH,600036.SH,002007.SZ,601611.SH,601800.SH,601169.SH,600028.SH,600804.SH,002146.SZ,002146.SZ,002142.SZ,002468.SZ,002202.SZ,002202.SZ,600271.SH,600177.SH,600208.SH,000001.SZ
60,000983.SZ,000883.SZ,601118.SH,000157.SZ,002008.SZ,002085.SZ,601818.SH,601186.SH,600029.SH,601888.SH,002153.SZ,002153.SZ,002146.SZ,002475.SZ,002230.SZ,002230.SZ,600276.SH,600183.SH,600219.SH,000002.SZ
61,000539.SZ,600406.SH,601992.SH,601988.SH,002024.SZ,002129.SZ,601857.SH,601198.SH,600030.SH,600498.SH,002202.SZ,002202.SZ,002153.SZ,002493.SZ,002236.SZ,002236.SZ,600297.SH,600188.SH,600221.SH,000063.SZ
62,000898.SZ,600271.SH,000069.SZ,600804.SH,002027.SZ,002131.SZ,601866.SH,601211.SH,600031.SH,601198.SH,002230.SZ,002230.SZ,002179.SZ,002508.SZ,002241.SZ,002241.SZ,600299.SH,600196.SH,600233.SH,000066.SZ
63,601899.SH,002081.SZ,300144.SZ,600519.SH,002049.SZ,002142.SZ,601872.SH,601216.SH,600036.SH,601991.SH,002236.SZ,002236.SZ,002202.SZ,002555.SZ,002252.SZ,002252.SZ,600346.SH,600208.SH,600276.SH,000069.SZ
64,601088.SH,000709.SZ,601258.SH,002465.SZ,002065.SZ,002146.SZ,601877.SH,601225.SH,600038.SH,002466.SZ,002241.SZ,002241.SZ,002230.SZ,002558.SZ,002271.SZ,002271.SZ,600309.SH,600219.SH,600297.SH,000157.SZ
65,601106.SH,600663.SH,000333.SZ,000750.SZ,002074.SZ,002152.SZ,601881.SH,601229.SH,600048.SH,600031.SH,002252.SZ,002252.SZ,002236.SZ,002572.SZ,002294.SZ,002294.SZ,600332.SH,600221.SH,600299.SH,000425.SZ
66,000157.SZ,001979.SZ,600718.SH,002183.SZ,002081.SZ,002153.SZ,601888.SH,601288.SH,600050.SH,601318.SH,002294.SZ,002294.SZ,002241.SZ,002594.SZ,002304.SZ,002304.SZ,600340.SH,600233.SH,600309.SH,000538.SZ
67,600085.SH,000983.SZ,601601.SH,600649.SH,002085.SZ,002174.SZ,601899.SH,601318.SH,600061.SH,601857.SH,002304.SZ,002304.SZ,002252.SZ,002601.SZ,002310.SZ,002310.SZ,600352.SH,600276.SH,600332.SH,000568.SZ
68,002736.SZ,600352.SH,601098.SH,601939.SH,002129.SZ,002183.SZ,601901.SH,601328.SH,600066.SH,601933.SH,002310.SZ,002310.SZ,002271.SZ,002602.SZ,002311.SZ,002311.SZ,600362.SH,600297.SH,600346.SH,000596.SZ
69,300027.SZ,300133.SZ,000046.SZ,600816.SH,002131.SZ,002195.SZ,601919.SH,601333.SH,600068.SH,600038.SH,002352.SZ,002352.SZ,002294.SZ,002624.SZ,002352.SZ,002352.SZ,600369.SH,600299.SH,600362.SH,000625.SZ
70,002294.SZ,601106.SH,002202.SZ,000060.SZ,002142.SZ,002202.SZ,601933.SH,601336.SH,600074.SH,601919.SH,002385.SZ,002385.SZ,002304.SZ,002625.SZ,002410.SZ,002410.SZ,600372.SH,600309.SH,600369.SH,000627.SZ
71,600011.SH,600016.SH,000166.SZ,600578.SH,002146.SZ,002230.SZ,601939.SH,601375.SH,600085.SH,600019.SH,002411.SZ,002411.SZ,002310.SZ,002673.SZ,002411.SZ,002411.SZ,600383.SH,600332.SH,600372.SH,000651.SZ
72,601318.SH,600317.SH,600276.SH,600535.SH,002152.SZ,002236.SZ,601958.SH,601377.SH,600089.SH,600741.SH,002415.SZ,002415.SZ,002311.SZ,002714.SZ,002415.SZ,002415.SZ,600390.SH,600346.SH,600383.SH,000656.SZ
73,600023.SH,600900.SH,601390.SH,600085.SH,002153.SZ,002241.SZ,601966.SH,601390.SH,600100.SH,600415.SH,002450.SZ,002450.SZ,002352.SZ,002736.SZ,002422.SZ,002422.SZ,600398.SH,600362.SH,600390.SH,000661.SZ
74,600886.SH,300251.SZ,600104.SH,601333.SH,002174.SZ,002252.SZ,601985.SH,000001.SZ,600104.SH,000402.SZ,002456.SZ,002456.SZ,002411.SZ,002773.SZ,002456.SZ,002456.SZ,600406.SH,600369.SH,600398.SH,000671.SZ
75,600690.SH,000156.SZ,603000.SH,000778.SZ,002183.SZ,002292.SZ,601988.SH,000002.SZ,600109.SH,000709.SZ,002460.SZ,002460.SZ,002415.SZ,002797.SZ,002460.SZ,002460.SZ,600436.SH,600372.SH,600498.SH,000703.SZ
76,000729.SZ,000898.SZ,600170.SH,000338.SZ,002195.SZ,002299.SZ,601989.SH,000008.SZ,600111.SH,603160.SH,002466.SZ,002466.SZ,002422.SZ,002925.SZ,002466.SZ,002466.SZ,600438.SH,600383.SH,600519.SH,000708.SZ
77,000686.SZ,300003.SZ,601898.SH,600048.SH,002202.SZ,002304.SZ,601992.SH,000009.SZ,600115.SH,002252.SZ,002468.SZ,002468.SZ,002450.SZ,300003.SZ,002468.SZ,002468.SZ,600482.SH,600390.SH,600583.SH,000709.SZ
78,601258.SH,600256.SH,000651.SZ,601016.SH,002230.SZ,002310.SZ,000060.SZ,000060.SZ,600118.SH,600021.SH,002470.SZ,002470.SZ,002456.SZ,300015.SZ,002475.SZ,002475.SZ,600487.SH,600398.SH,600585.SH,000723.SZ
79,601098.SH,601939.SH,601186.SH,600827.SH,002236.SZ,002385.SZ,000063.SZ,000063.SZ,600153.SH,600352.SH,002475.SZ,002475.SZ,002460.SZ,300017.SZ,002493.SZ,002493.SZ,600489.SH,600498.SH,600588.SH,000725.SZ
80,600100.SH,601328.SH,002195.SZ,600583.SH,002241.SZ,002415.SZ,000069.SZ,000069.SZ,600157.SH,600036.SH,002493.SZ,002493.SZ,002466.SZ,300024.SZ,002508.SZ,002508.SZ,600498.SH,600519.SH,600606.SH,000728.SZ
81,600547.SH,000999.SZ,600518.SH,002081.SZ,002252.SZ,002424.SZ,000100.SZ,000100.SZ,600170.SH,600660.SH,002500.SZ,002500.SZ,002468.SZ,300033.SZ,002555.SZ,002555.SZ,600516.SH,600566.SH,600637.SH,000768.SZ
82,600518.SH,000937.SZ,600895.SH,601336.SH,002292.SZ,002426.SZ,000156.SZ,000156.SZ,600177.SH,601163.SH,002508.SZ,002508.SZ,002475.SZ,300059.SZ,002558.SZ,002558.SZ,600519.SH,600583.SH,600655.SH,000776.SZ
83,000792.SZ,600633.SH,002027.SZ,300085.SZ,002299.SZ,002450.SZ,000157.SZ,000157.SZ,600188.SH,601228.SH,002555.SZ,002555.SZ,002493.SZ,300070.SZ,002594.SZ,002594.SZ,600522.SH,600585.SH,600660.SH,000783.SZ
84,603885.SH,603000.SH,601919.SH,600886.SH,002304.SZ,002456.SZ,000166.SZ,000166.SZ,601377.SH,300072.SZ,002558.SZ,002558.SZ,002508.SZ,300072.SZ,002601.SZ,002601.SZ,600535.SH,600655.SH,600674.SH,000786.SZ
85,000793.SZ,000750.SZ,600663.SH,600150.SH,002310.SZ,002465.SZ,000333.SZ,000333.SZ,601390.SH,002426.SZ,002572.SZ,002572.SZ,002555.SZ,300122.SZ,002602.SZ,002602.SZ,600547.SH,600588.SH,600690.SH,000858.SZ
86,600015.SH,601111.SH,600188.SH,601009.SH,002385.SZ,002466.SZ,000338.SZ,000338.SZ,601398.SH,002456.SZ,002594.SZ,002594.SZ,002558.SZ,300124.SZ,002624.SZ,002624.SZ,600566.SH,600606.SH,600703.SH,000860.SZ
87,600021.SH,000001.SZ,002385.SZ,600648.SH,002415.SZ,002470.SZ,000402.SZ,000402.SZ,601555.SH,600008.SH,002601.SZ,002601.SZ,002572.SZ,300136.SZ,002625.SZ,002625.SZ,600570.SH,600637.SH,600705.SH,000876.SZ
88,000630.SZ,600741.SH,002007.SZ,601600.SH,002424.SZ,002475.SZ,000413.SZ,000413.SZ,601600.SH,600309.SH,002602.SZ,002602.SZ,002594.SZ,300142.SZ,002673.SZ,002673.SZ,600583.SH,600660.SH,600741.SH,000895.SZ
89,601169.SH,601969.SH,000630.SZ,600038.SH,002426.SZ,002500.SZ,000415.SZ,000415.SZ,601601.SH,002602.SZ,002608.SZ,002608.SZ,002601.SZ,300144.SZ,002714.SZ,002714.SZ,600585.SH,600663.SH,600745.SH,000938.SZ
90,002594.SZ,000009.SZ,000709.SZ,601872.SH,002450.SZ,002568.SZ,000423.SZ,000423.SZ,601607.SH,600271.SH,002624.SZ,002624.SZ,002602.SZ,300251.SZ,002736.SZ,002736.SZ,600588.SH,600674.SH,600760.SH,000961.SZ
91,002475.SZ,000651.SZ,600340.SH,002385.SZ,002456.SZ,002594.SZ,000425.SZ,000425.SZ,601608.SH,601117.SH,002625.SZ,002625.SZ,002624.SZ,300296.SZ,002739.SZ,002739.SZ,600606.SH,600690.SH,600795.SH,000963.SZ
92,300104.SZ,601699.SH,601117.SH,601601.SH,002465.SZ,002673.SZ,000503.SZ,000503.SZ,601611.SH,000333.SZ,002673.SZ,002673.SZ,002625.SZ,300408.SZ,002773.SZ,002773.SZ,600637.SH,600703.SH,600809.SH,000977.SZ
93,000046.SZ,600839.SH,600705.SH,600050.SH,002466.SZ,002714.SZ,000538.SZ,000538.SZ,601618.SH,000671.SZ,002714.SZ,002714.SZ,002673.SZ,300433.SZ,002925.SZ,002925.SZ,600655.SH,600705.SH,600837.SH,600000.SH
94,000883.SZ,601727.SH,000686.SZ,600221.SH,002470.SZ,002736.SZ,000540.SZ,000540.SZ,601628.SH,300136.SZ,002736.SZ,002736.SZ,002714.SZ,600000.SH,002938.SZ,002938.SZ,600660.SH,600733.SH,600848.SH,600009.SH
95,002081.SZ,601901.SH,002081.SZ,300168.SZ,002475.SZ,002739.SZ,000555.SZ,000555.SZ,601633.SH,600219.SH,002739.SZ,002739.SZ,002736.SZ,600004.SH,002939.SZ,002939.SZ,600663.SH,600741.SH,601607.SH,600010.SH
96,002385.SZ,000069.SZ,000063.SZ,600588.SH,002500.SZ,002797.SZ,000559.SZ,000559.SZ,601668.SH,000538.SZ,002797.SZ,002797.SZ,002773.SZ,600009.SH,002945.SZ,002945.SZ,600674.SH,600760.SH,600867.SH,600011.SH
97,601118.SH,000157.SZ,002241.SZ,601018.SH,002568.SZ,300002.SZ,000568.SZ,000568.SZ,601669.SH,600588.SH,002925.SZ,002925.SZ,002797.SZ,600010.SH,300003.SZ,300003.SZ,600690.SH,600795.SH,600886.SH,600016.SH
98,601668.SH,000783.SZ,300315.SZ,601216.SH,002594.SZ,300015.SZ,000623.SZ,000623.SZ,601688.SH,600276.SH,300003.SZ,300003.SZ,002925.SZ,600011.SH,300015.SZ,300015.SZ,600703.SH,600809.SH,600887.SH,600019.SH
99,000425.SZ,600170.SH,300027.SZ,600660.SH,002673.SZ,300017.SZ,000625.SZ,000625.SZ,601718.SH,600372.SH,300015.SZ,300015.SZ,300003.SZ,600015.SH,300017.SZ,300017.SZ,600705.SH,600816.SH,600893.SH,600028.SH
100,601992.SH,600208.SH,601991.SH,000625.SZ,002714.SZ,300024.SZ,000627.SZ,000627.SZ,601727.SH,000559.SZ,300017.SZ,300017.SZ,300015.SZ,600016.SH,300024.SZ,300024.SZ,600733.SH,600837.SH,600516.SH,600036.SH
101,000963.SZ,000060.SZ,600893.SH,600188.SH,002736.SZ,300027.SZ,000630.SZ,000630.SZ,601766.SH,600383.SH,300024.SZ,300024.SZ,300017.SZ,600018.SH,300033.SZ,300033.SZ,600741.SH,600848.SH,600050.SH,600038.SH
102,600010.SH,002065.SZ,600157.SH,600887.SH,002739.SZ,300033.SZ,000651.SZ,000651.SZ,601788.SH,601111.SH,300027.SZ,300027.SZ,300024.SZ,600019.SH,300059.SZ,300059.SZ,600760.SH,601607.SH,600522.SH,600061.SH
103,000999.SZ,601872.SH,002146.SZ,002065.SZ,002797.SZ,300058.SZ,000671.SZ,000671.SZ,601800.SH,001979.SZ,300033.SZ,300033.SZ,300033.SZ,600023.SH,300070.SZ,300070.SZ,600795.SH,600867.SH,600030.SH,600066.SH
