,20151231,20160331,20160630,20160930,20161230,20170331,20170630,20170929,20171229,20180330,20180629,20180928,20181228,20190329,20190628,20190930,20191231,20200331,20200630,20200930
210,601608.SH,600485.SH,002456.SZ,600837.SH,600704.SH,600100.SH,600037.SH,600037.SH,600820.SH,601899.SH,600867.SH,600867.SH,600886.SH,601155.SH,600887.SH,600887.SH,000938.SZ,002466.SZ,300122.SZ,002714.SZ
211,002292.SZ,002202.SZ,600600.SH,002475.SZ,600705.SH,600104.SH,600038.SH,600038.SH,600827.SH,000826.SZ,600886.SH,600886.SH,600887.SH,601166.SH,600893.SH,600893.SH,000961.SZ,002460.SZ,600998.SH,002773.SZ
212,000625.SZ,000630.SZ,601016.SH,600820.SH,600718.SH,600109.SH,600048.SH,600048.SH,600837.SH,300015.SZ,600887.SH,600887.SH,600893.SH,601169.SH,600900.SH,600900.SH,000963.SZ,300124.SZ,002493.SZ,601169.SH
213,600578.SH,601288.SH,601688.SH,002568.SZ,600737.SH,600111.SH,600050.SH,600050.SH,600871.SH,002415.SZ,600893.SH,600893.SH,600900.SH,601186.SH,600919.SH,600919.SH,001979.SZ,601018.SH,600958.SH,002179.SZ
214,601600.SH,002456.SZ,600485.SH,000415.SZ,600739.SH,600115.SH,600060.SH,600060.SH,600886.SH,002555.SZ,600900.SH,600900.SH,600909.SH,601198.SH,600926.SH,600926.SH,002001.SZ,002468.SZ,300136.SZ,601939.SH
215,600372.SH,600588.SH,000793.SZ,600489.SH,600741.SH,600118.SH,600061.SH,600061.SH,600887.SH,600887.SH,600909.SH,600909.SH,600919.SH,601211.SH,600958.SH,600958.SH,002007.SZ,601377.SH,300142.SZ,601808.SH
216,000629.SZ,600893.SH,601818.SH,300251.SZ,600754.SH,600150.SH,600066.SH,600066.SH,600893.SH,601688.SH,600919.SH,600919.SH,600926.SH,601212.SH,600977.SH,600977.SH,002008.SZ,601336.SH,002508.SZ,000333.SZ
217,000725.SZ,601186.SH,300058.SZ,600008.SH,600783.SH,600153.SH,600068.SH,600068.SH,600895.SH,000568.SZ,600926.SH,600926.SH,600958.SH,601216.SH,600998.SH,600998.SH,002010.SZ,002475.SZ,600926.SH,002739.SZ
218,600588.SH,600276.SH,601211.SH,300104.SZ,600795.SH,600157.SH,600074.SH,600074.SH,600900.SH,601618.SH,600958.SH,600958.SH,600977.SH,601225.SH,600999.SH,600999.SH,002024.SZ,601818.SH,600919.SH,603899.SH
219,601099.SH,000061.SZ,002399.SZ,600009.SH,600804.SH,600170.SH,600085.SH,600085.SH,600909.SH,601628.SH,600959.SH,600959.SH,600998.SH,601228.SH,601006.SH,601006.SH,002027.SZ,300122.SZ,300144.SZ,603369.SH
220,600383.SH,000792.SZ,600074.SH,600100.SH,600816.SH,600177.SH,600089.SH,600089.SH,600919.SH,000651.SZ,600977.SH,600977.SH,600999.SH,601229.SH,601009.SH,601009.SH,002032.SZ,600998.SH,000166.SZ,601021.SH
221,000559.SZ,601600.SH,000825.SZ,002252.SZ,600820.SH,600188.SH,600100.SH,600100.SH,600926.SH,300144.SZ,600999.SH,600999.SH,601006.SH,601238.SH,601012.SH,601012.SH,002044.SZ,002493.SZ,002736.SZ,601828.SH
222,300015.SZ,600315.SH,601628.SH,000728.SZ,600827.SH,600196.SH,600104.SH,600104.SH,600958.SH,601336.SH,601006.SH,601006.SH,601009.SH,601288.SH,601018.SH,601018.SH,002050.SZ,600958.SH,601211.SH,601985.SH
223,000768.SZ,000581.SZ,600037.SH,600372.SH,600837.SH,600208.SH,600109.SH,600109.SH,600959.SH,000768.SZ,601009.SH,601009.SH,601012.SH,601318.SH,601021.SH,601021.SH,002081.SZ,300136.SZ,601933.SH,603986.SH
224,600038.SH,000333.SZ,601318.SH,600115.SH,600839.SH,600221.SH,600111.SH,600111.SH,600977.SH,002027.SZ,601012.SH,601012.SH,601018.SH,601328.SH,601066.SH,601066.SH,002120.SZ,300142.SZ,002555.SZ,603160.SH
225,000937.SZ,000793.SZ,601618.SH,300059.SZ,600867.SH,600252.SH,600115.SH,600115.SH,600999.SH,600104.SH,601018.SH,601018.SH,601021.SH,601333.SH,601088.SH,601088.SH,002142.SZ,002508.SZ,002558.SZ,600660.SH
226,600837.SH,601608.SH,000423.SZ,601888.SH,600871.SH,600256.SH,600118.SH,600118.SH,601006.SH,600109.SH,601021.SH,601021.SH,601066.SH,601336.SH,601108.SH,601108.SH,002146.SZ,600926.SH,601216.SH,600674.SH
227,000540.SZ,601800.SH,600519.SH,600383.SH,600873.SH,600271.SH,600150.SH,600150.SH,601009.SH,000008.SZ,601088.SH,601088.SH,601088.SH,601360.SH,601111.SH,601111.SH,002153.SZ,600919.SH,601992.SH,600690.SH
228,002470.SZ,600875.SH,600660.SH,600415.SH,600875.SH,600276.SH,600153.SH,600153.SH,601012.SH,000963.SZ,601099.SH,601099.SH,601108.SH,601377.SH,601117.SH,601117.SH,002179.SZ,300144.SZ,603156.SH,600703.SH
229,002456.SZ,000400.SZ,601225.SH,000686.SZ,600886.SH,600297.SH,600157.SH,600157.SH,601018.SH,002601.SZ,601108.SH,601108.SH,601111.SH,601390.SH,601138.SH,601138.SH,002202.SZ,000166.SZ,002594.SZ,600705.SH
230,601238.SH,601018.SH,002230.SZ,600028.SH,600887.SH,600309.SH,600170.SH,600170.SH,000001.SZ,002797.SZ,601111.SH,601111.SH,601117.SH,601398.SH,601155.SH,601155.SH,002230.SZ,002736.SZ,002601.SZ,600741.SH
231,600350.SH,600600.SH,300168.SZ,002424.SZ,600893.SH,600332.SH,600177.SH,600177.SH,000002.SZ,600297.SH,601117.SH,601117.SH,601138.SH,601555.SH,601162.SH,601162.SH,002236.SZ,601211.SH,002607.SZ,600745.SH
