trade_date,close
2016-01-04,3469.066
2016-01-05,3478.78
2016-01-06,3539.808
2016-01-07,3294.3839
2016-01-08,3361.563
2016-01-11,3192.45
2016-01-12,3215.71
2016-01-13,3155.879
2016-01-14,3221.571
2016-01-15,3118.73
2016-01-18,3130.729
2016-01-19,3223.125
2016-01-20,3174.378
2016-01-21,3081.345
2016-01-22,3113.463
2016-01-25,3128.886
2016-01-26,2940.509
2016-01-27,2930.352
2016-01-28,2853.756
2016-01-29,2946.09
2016-02-01,2901.048
2016-02-02,2961.334
2016-02-03,2948.639
2016-02-04,2984.76
2016-02-05,2963.789
2016-02-15,2946.707
2016-02-16,3037.035
2016-02-17,3063.32
2016-02-18,3053.699
2016-02-19,3051.585
2016-02-22,3118.868
2016-02-23,3089.363
2016-02-24,3109.545
2016-02-25,2918.75
2016-02-26,2948.031
2016-02-29,2877.467
2016-03-01,2930.694
2016-03-02,3051.333
2016-03-03,3058.422
2016-03-04,3093.89
2016-03-07,3104.84
2016-03-08,3107.673
2016-03-09,3071.907
2016-03-10,3013.146
2016-03-11,3018.284
2016-03-14,3065.69
2016-03-15,3074.78
2016-03-16,3090.033
2016-03-17,3124.204
2016-03-18,3171.963
2016-03-21,3249.437
2016-03-22,3225.79
2016-03-23,3236.092
2016-03-24,3181.851
2016-03-25,3197.817
2016-03-28,3169.728
2016-03-29,3135.41
2016-03-30,3216.275
2016-03-31,3218.088
2016-04-01,3221.895
2016-04-05,3264.486
2016-04-06,3257.528
2016-04-07,3209.29
2016-04-08,3185.726
2016-04-11,3230.096
2016-04-12,3218.45
2016-04-13,3261.383
2016-04-14,3275.832
2016-04-15,3272.205
2016-04-18,3228.453
2016-04-19,3238.303
2016-04-20,3181.026
2016-04-21,3160.603
2016-04-22,3174.901
2016-04-25,3162.033
2016-04-26,3179.161
2016-04-27,3165.916
2016-04-28,3160.581
2016-04-29,3156.745
2016-05-03,3213.54
2016-05-04,3209.461
2016-05-05,3213.92
2016-05-06,3130.354
2016-05-09,3065.615
2016-05-10,3069.112
2016-05-11,3082.808
2016-05-12,3090.137
2016-05-13,3074.935
2016-05-16,3095.308
2016-05-17,3086.024
2016-05-18,3068.035
2016-05-19,3062.5
2016-05-20,3078.218
2016-05-23,3087.222
2016-05-24,3063.5556
2016-05-25,3059.2259
2016-05-26,3064.211
2016-05-27,3062.499
2016-05-30,3066.709
2016-05-31,3169.559
2016-06-01,3160.547
2016-06-02,3167.099
2016-06-03,3189.325
2016-06-06,3178.788
2016-06-07,3177.053
2016-06-08,3163.986
2016-06-13,3066.341
2016-06-14,3075.983
2016-06-15,3116.368
2016-06-16,3094.674
2016-06-17,3110.357
2016-06-20,3112.674
2016-06-21,3106.317
2016-06-22,3133.961
2016-06-23,3117.316
2016-06-24,3077.155
2016-06-27,3120.544
2016-06-28,3136.401
2016-06-29,3151.389
2016-06-30,3153.921
2016-07-01,3154.2
2016-07-04,3204.696
2016-07-05,3207.382
2016-07-06,3216.803
2016-07-07,3209.954
2016-07-08,3192.28
2016-07-11,3203.329
2016-07-12,3273.182
2016-07-13,3282.868
2016-07-14,3276.763
2016-07-15,3276.277
2016-07-18,3262.022
2016-07-19,3248.234
2016-07-20,3237.605
2016-07-21,3252.522
2016-07-22,3225.162
2016-07-25,3230.885
2016-07-26,3269.588
2016-07-27,3218.243
2016-07-28,3221.136
2016-07-29,3203.93
2016-08-01,3176.809
2016-08-02,3189.052
2016-08-03,3193.507
2016-08-04,3201.288
2016-08-05,3205.11
2016-08-08,3234.183
2016-08-09,3256.981
2016-08-10,3243.34
2016-08-11,3233.36
2016-08-12,3294.233
2016-08-15,3393.423
2016-08-16,3378.245
2016-08-17,3373.047
2016-08-18,3364.485
2016-08-19,3365.019
2016-08-22,3336.794
2016-08-23,3341.829
2016-08-24,3329.863
2016-08-25,3308.972
2016-08-26,3307.09
2016-08-29,3307.781
2016-08-30,3311.987
2016-08-31,3327.793
2016-09-01,3301.576
2016-09-02,3314.114
2016-09-05,3319.68
2016-09-06,3342.625
2016-09-07,3340.817
2016-09-08,3339.564
2016-09-09,3318.044
2016-09-12,3262.604
2016-09-13,3260.333
2016-09-14,3238.729
2016-09-19,3263.124
2016-09-20,3257.403
2016-09-21,3266.636
2016-09-22,3291.121
2016-09-23,3275.666
2016-09-26,3220.283
2016-09-27,3240.754
2016-09-28,3230.89
2016-09-29,3244.387
2016-09-30,3253.284
2016-10-10,3293.868
2016-10-11,3306.557
2016-10-12,3300.009
2016-10-13,3302.645
2016-10-14,3305.848
2016-10-17,3277.878
2016-10-18,3321.332
2016-10-19,3316.24
2016-10-20,3318.604
2016-10-21,3327.74
2016-10-24,3367.577
2016-10-25,3367.454
2016-10-26,3354.8
2016-10-27,3345.695
2016-10-28,3340.126
2016-10-31,3336.278
2016-11-01,3359.052
2016-11-02,3333.352
2016-11-03,3365.085
2016-11-04,3354.175
2016-11-07,3356.592
2016-11-08,3371.118
2016-11-09,3353.055
2016-11-10,3390.612
2016-11-11,3417.221
2016-11-14,3430.248
2016-11-15,3429.87
2016-11-16,3429.592
2016-11-17,3436.535
2016-11-18,3417.455
2016-11-21,3441.111
2016-11-22,3468.364
2016-11-23,3474.729
2016-11-24,3488.74
2016-11-25,3521.298
2016-11-28,3535.081
2016-11-29,3564.04
2016-11-30,3538.001
2016-12-01,3565.036
2016-12-02,3528.955
2016-12-05,3469.407
2016-12-06,3459.153
2016-12-07,3475.747
2016-12-08,3470.143
2016-12-09,3493.7
2016-12-12,3409.179
2016-12-13,3405.036
2016-12-14,3378.945
2016-12-15,3340.434
2016-12-16,3346.031
2016-12-19,3328.9827
2016-12-20,3309.0641
2016-12-21,3338.536
2016-12-22,3335.672
2016-12-23,3307.5991
2016-12-26,3322.4006
2016-12-27,3316.3852
2016-12-28,3301.8887
2016-12-29,3297.7648
2016-12-30,3310.0808
2017-01-03,3342.2272
2017-01-04,3368.3117
2017-01-05,3367.7892
2017-01-06,3347.6665
2017-01-09,3363.9014
2017-01-10,3358.2716
2017-01-11,3334.4954
2017-01-12,3317.6241
2017-01-13,3319.9122
2017-01-16,3319.4455
2017-01-17,3326.3563
2017-01-18,3339.3653
2017-01-19,3329.2891
2017-01-20,3354.8891
2017-01-23,3364.0808
2017-01-24,3364.4509
2017-01-25,3375.9042
2017-01-26,3387.9606
2017-02-03,3364.4923
2017-02-06,3373.2051
2017-02-07,3365.6849
2017-02-08,3383.2878
2017-02-09,3396.2924
2017-02-10,3413.4868
2017-02-13,3436.275
2017-02-14,3435.8042
2017-02-15,3421.7131
2017-02-16,3440.9331
2017-02-17,3421.4419
2017-02-20,3471.3926
2017-02-21,3482.823
2017-02-22,3489.7567
2017-02-23,3473.3236
2017-02-24,3473.8517
2017-02-27,3446.2228
2017-02-28,3452.8103
2017-03-01,3458.4376
2017-03-02,3435.0963
2017-03-03,3427.8628
2017-03-06,3446.484
2017-03-07,3453.9565
2017-03-08,3448.7313
2017-03-09,3426.9438
2017-03-10,3427.8916
2017-03-13,3458.098
2017-03-14,3456.6934
2017-03-15,3463.6436
2017-03-16,3481.5066
2017-03-17,3445.8051
2017-03-20,3449.6126
2017-03-21,3466.3468
2017-03-22,3450.0502
2017-03-23,3461.9782
2017-03-24,3489.5997
2017-03-27,3478.0385
2017-03-28,3469.8093
2017-03-29,3465.1933
2017-03-30,3436.758
2017-03-31,3456.0455
2017-04-05,3503.8932
2017-04-06,3514.0469
2017-04-07,3517.4634
2017-04-10,3505.1392
2017-04-11,3517.328
2017-04-12,3509.4387
2017-04-13,3514.5662
2017-04-14,3486.5045
2017-04-17,3479.9417
2017-04-18,3462.7429
2017-04-19,3445.8761
2017-04-20,3461.5481
2017-04-21,3466.7865
2017-04-24,3431.2587
2017-04-25,3440.9743
2017-04-26,3445.1832
2017-04-27,3446.7202
2017-04-28,3439.753
2017-05-02,3426.5766
2017-05-03,3413.1282
2017-05-04,3404.3864
2017-05-05,3382.5502
2017-05-08,3358.8125
2017-05-09,3352.5324
2017-05-10,3337.7007
2017-05-11,3356.6459
2017-05-12,3385.3787
2017-05-15,3399.1937
2017-05-16,3428.6491
2017-05-17,3409.9656
2017-05-18,3398.1127
2017-05-19,3403.8492
2017-05-22,3411.2387
2017-05-23,3424.194
2017-05-24,3424.1669
2017-05-25,3485.6581
2017-05-26,3480.4345
2017-05-31,3492.8845
2017-06-01,3497.7382
2017-06-02,3486.5074
2017-06-05,3468.7538
2017-06-06,3492.8816
2017-06-07,3533.8718
2017-06-08,3560.9786
2017-06-09,3576.1703
2017-06-12,3574.3894
2017-06-13,3582.2674
2017-06-14,3535.2987
2017-06-15,3528.7926
2017-06-16,3518.7611
2017-06-19,3553.6653
2017-06-20,3546.494
2017-06-21,3587.955
2017-06-22,3590.3425
2017-06-23,3622.8831
2017-06-26,3668.0919
2017-06-27,3674.7152
2017-06-28,3646.1666
2017-06-29,3668.8279
2017-06-30,3666.7977
2017-07-03,3650.8463
2017-07-04,3619.9841
2017-07-05,3659.6795
2017-07-06,3660.0967
2017-07-07,3655.9293
2017-07-10,3653.6868
2017-07-11,3670.8086
2017-07-12,3658.8236
2017-07-13,3686.9205
2017-07-14,3703.094
2017-07-17,3663.5575
2017-07-18,3667.1807
2017-07-19,3729.7466
2017-07-20,3747.8843
2017-07-21,3728.5976
2017-07-24,3743.4686
2017-07-25,3719.559
2017-07-26,3705.3884
2017-07-27,3712.1947
2017-07-28,3721.8914
2017-07-31,3737.8732
2017-08-01,3770.3828
2017-08-02,3760.8525
2017-08-03,3727.8264
2017-08-04,3707.5796
2017-08-07,3726.7948
2017-08-08,3732.2129
2017-08-09,3731.044
2017-08-10,3715.9208
2017-08-11,3647.3503
2017-08-14,3694.6831
2017-08-15,3706.0566
2017-08-16,3701.4207
2017-08-17,3721.277
2017-08-18,3724.6748
2017-08-21,3740.9941
2017-08-22,3752.298
2017-08-23,3756.0884
2017-08-24,3734.6458
2017-08-25,3795.7544
2017-08-28,3842.7119
2017-08-29,3834.5376
2017-08-30,3834.3005
2017-08-31,3822.0928
2017-09-01,3830.5383
2017-09-04,3845.6163
2017-09-05,3857.0464
2017-09-06,3849.4499
2017-09-07,3829.8713
2017-09-08,3825.9895
2017-09-11,3825.6453
2017-09-12,3837.9341
2017-09-13,3842.6061
2017-09-14,3829.9554
2017-09-15,3831.2965
2017-09-18,3843.1428
2017-09-19,3832.1161
2017-09-20,3842.4353
2017-09-21,3837.8176
2017-09-22,3837.7304
2017-09-25,3817.7915
2017-09-26,3820.7816
2017-09-27,3821.2
2017-09-28,3822.5386
2017-09-29,3836.5013
2017-10-09,3882.2076
2017-10-10,3889.8637
2017-10-11,3902.6868
2017-10-12,3912.9536
2017-10-13,3921.0017
2017-10-16,3913.4462
2017-10-17,3913.0688
2017-10-18,3944.1626
2017-10-19,3931.2495
2017-10-20,3926.852
2017-10-23,3930.7981
2017-10-24,3959.3953
2017-10-25,3976.949
2017-10-26,3993.5752
2017-10-27,4021.9676
2017-10-30,4009.7218
2017-10-31,4006.7179
2017-11-01,3996.6221
2017-11-02,3997.1343
2017-11-03,3992.6979
2017-11-06,4020.8896
2017-11-07,4054.2465
2017-11-08,4048.0057
2017-11-09,4075.8998
2017-11-10,4111.9112
2017-11-13,4128.0733
2017-11-14,4099.351
2017-11-15,4073.6696
2017-11-16,4105.0122
2017-11-17,4120.8508
2017-11-20,4143.8334
2017-11-21,4217.7015
2017-11-22,4227.5666
2017-11-23,4102.3966
2017-11-24,4104.2034
2017-11-27,4049.9475
2017-11-28,4055.8235
2017-11-29,4053.7529
2017-11-30,4006.0993
2017-12-01,3998.1365
2017-12-04,4018.8571
2017-12-05,4040.1704
2017-12-06,4015.8211
2017-12-07,3971.0569
2017-12-08,4003.3792
2017-12-11,4069.4997
2017-12-12,4016.0163
2017-12-13,4050.0927
2017-12-14,4026.1516
2017-12-15,3980.8558
2017-12-18,3985.2914
2017-12-19,4035.3294
2017-12-20,4030.4898
2017-12-21,4067.8485
2017-12-22,4054.5984
2017-12-25,4041.5401
2017-12-26,4053.6224
2017-12-27,3991.2075
2017-12-28,4018.8974
2017-12-29,4030.8549
2018-01-02,4087.4012
2018-01-03,4111.3925
2018-01-04,4128.8119
2018-01-05,4138.7505
2018-01-08,4160.1595
2018-01-09,4189.2977
2018-01-10,4207.8132
2018-01-11,4205.5863
2018-01-12,4225.001
2018-01-15,4225.2393
2018-01-16,4258.473
2018-01-17,4248.1164
2018-01-18,4271.4168
2018-01-19,4285.395
2018-01-22,4336.5974
2018-01-23,4382.6129
2018-01-24,4389.8853
2018-01-25,4365.0794
2018-01-26,4381.2996
2018-01-29,4302.0181
2018-01-30,4256.1021
2018-01-31,4275.8986
2018-02-01,4245.8978
2018-02-02,4271.2326
2018-02-05,4274.1464
2018-02-06,4148.8856
2018-02-07,4050.4972
2018-02-08,4012.0472
2018-02-09,3840.6527
2018-02-12,3890.1046
2018-02-13,3935.6324
2018-02-14,3966.9614
2018-02-22,4052.7332
2018-02-23,4071.0889
2018-02-26,4118.4186
2018-02-27,4058.9806
2018-02-28,4023.6415
2018-03-01,4049.0863
2018-03-02,4016.461
2018-03-05,4018.097
2018-03-06,4066.5647
2018-03-07,4036.6536
2018-03-08,4077.6001
2018-03-09,4108.8652
2018-03-12,4127.6662
2018-03-13,4091.2533
2018-03-14,4073.3447
2018-03-15,4096.1627
2018-03-16,4056.4226
2018-03-19,4074.2479
2018-03-20,4077.7041
